theta_rad,theta_deg,A_observable,B_complement,A_plus_B,G_gap
0.04319689898685966,2.475,0.9981351882464706,0.0018648117535293618,1.0,0.0018613342306532605
0.04398229715025711,2.5200000000000005,0.9980668045715861,0.0019331954284137678,0.9999999999999999,0.0019294581838493277
0.04476769531365456,2.5650000000000004,0.9979971919663728,0.0020028080336270937,0.9999999999999999,0.0019987967936075323
0.045553093477052005,2.6100000000000003,0.9979263506025929,0.002073649397407157,1.0,0.00206934937558379
0.04633849164044945,2.6550000000000002,0.9978542806550401,0.0021457193449599342,1.0,0.002141115233452599
0.0471238898038469,2.7,0.9977809823015401,0.002219017698459994,1.0,0.0022140936589139155
0.04790928796724435,2.745,0.997706455722949,0.002293544277050935,1.0,0.002288283931700142
0.0486946861306418,2.79,0.9976307011031541,0.0023692988968458343,0.9999999999999999,0.002363685319583239
0.049480084294039245,2.835,0.9975537186290722,0.002446281370927697,0.9999999999999999,0.002440297078381949
0.05026548245743669,2.8800000000000003,0.99747550849065,0.0025244915093499214,1.0,0.0025181184519691415
0.05105088062083414,2.9250000000000003,0.9973960708808631,0.002603929119136766,0.9999999999999999,0.0025971486722792775
0.05183627878423159,2.97,0.9973154059957162,0.0026845940042838244,1.0,0.0026773869593159877
0.05262167694762904,3.015,0.9972335140342414,0.002766485965758511,0.9999999999999999,0.0027588325211597717
0.053407075111026485,3.06,0.9971503951984996,0.002849604801500553,1.0000000000000002,0.0028414845539758184
0.05419247327442393,3.105,0.9970660496935775,0.002933950306422484,1.0,0.0029253422420219273
0.05497787143782138,3.15,0.9969804777275898,0.003019522272410156,1.0,0.0030104047576565746
0.05576326960121883,3.195,0.9968936795116767,0.0031063204883232495,1.0,0.0030966712613470725
0.05654866776461628,3.24,0.9968056552600042,0.0031943447399957955,1.0,0.0031841409016778567
0.057334065928013725,3.285,0.9967164051897633,0.003283594810236702,1.0,0.0032728128153588884
0.05811946409141117,3.33,0.9966259295211696,0.003374070478830294,0.9999999999999999,0.0033626861272341795
0.05890486225480863,3.3750000000000004,0.9965342284774632,0.0034657715225368526,1.0,0.0034537599502904256
0.059690260418206076,3.4200000000000004,0.9964413022849069,0.0035586977150931683,1.0,0.0035460333856657594
0.060475658581603524,3.4650000000000003,0.9963471511727869,0.0036528488272130977,1.0,0.003639505522658626
0.06126105674500097,3.5100000000000002,0.9962517753734118,0.0037482246265881326,0.9999999999999999,0.0037341754387367706
0.06204645490839842,3.555,0.996155175122112,0.003844824877887967,1.0,0.003830042199546341
0.06283185307179587,3.6,0.9960573506572389,0.003942649342761085,1.0,0.00392710485892111
0.06361725123519331,3.645,0.9959583022201646,0.0040416977798353425,0.9999999999999999,0.004025362458891816
0.06440264939859076,3.6900000000000004,0.9958580300552814,0.00414196994471857,1.0,0.0041248140296956184
0.0651880475619882,3.735,0.9957565344100008,0.004243465589999166,1.0,0.004225458589785658
0.06597344572538566,3.7800000000000002,0.9956538155347534,0.004346184465246716,1.0000000000000002,0.004327295145840764
0.0667588438887831,3.8249999999999997,0.9955498736829874,0.004450126317012606,1.0,0.004430322692775238
0.06754424205218056,3.87,0.9954447091111694,0.004555290888830651,1.0,0.004534540213748788
0.06832964021557801,3.9150000000000005,0.9953383220787823,0.0046616779212177205,1.0,0.004639946680176552
0.06911503837897545,3.96,0.9952307128483256,0.00476928715167439,1.0,0.004746541051739264
0.0699004365423729,4.005000000000001,0.9951218816853145,0.004878118314685582,1.0,0.004854322276393512
0.07068583470577035,4.05,0.9950118288582787,0.004988171141721215,0.9999999999999999,0.004963289290382114
0.0714712328691678,4.095000000000001,0.994900554638763,0.005099445361236886,0.9999999999999999,0.005073441018244645
0.07225663103256524,4.14,0.9947880593013255,0.005211940698674513,1.0,0.005184776372828014
0.0730420291959627,4.1850000000000005,0.994674343123537,0.005325656876463038,1.0,0.00529729425529722
